# Time(ns) B(a.u.) 
-2854.99 0.000115721
-2853.76 -3.0235e-05
-2852.49 6.92392e-06
-2851.26 -1.77625e-05
-2849.99 2.80336e-06
-2848.76 -3.62218e-05
-2847.49 8.2646e-05
-2846.26 4.78709e-05
-2844.99 7.98004e-05
-2843.76 2.56235e-05
-2842.49 6.50922e-05
-2841.26 -4.65323e-05
-2839.99 1.64769e-05
-2838.76 -1.60625e-05
-2837.49 -4.40195e-05
-2836.26 -0.000110059
-2834.99 -6.14439e-05
-2833.76 -2.78698e-05
-2832.49 0.000100126
-2831.26 -1.71897e-05
-2829.99 1.12293e-05
-2828.76 -1.95364e-05
-2827.49 -1.22481e-06
-2826.26 1.90951e-05
-2824.99 9.40778e-05
-2823.76 -7.9749e-06
-2822.49 3.75359e-05
-2821.26 1.32376e-05
-2819.99 -2.44571e-05
-2818.76 -3.58948e-05
-2817.49 2.38809e-05
-2816.26 1.89842e-05
-2814.99 5.07106e-05
-2813.76 7.52798e-06
-2812.49 3.36002e-05
-2811.26 -4.48751e-05
-2809.99 3.27132e-05
-2808.76 -1.60497e-05
-2807.49 6.4563e-06
-2806.26 -0.000106443
-2804.99 -7.03252e-06
-2803.76 -7.74331e-05
-2802.49 9.32032e-06
-2801.26 -8.70598e-05
-2799.99 -3.45644e-05
-2798.76 -6.03963e-05
-2797.49 -4.37664e-05
-2796.26 -6.6845e-05
-2794.99 6.06149e-05
-2793.76 -2.43832e-05
-2792.49 2.98492e-05
-2791.26 -1.18552e-05
-2789.99 -2.24061e-05
-2788.76 -2.48082e-05
-2787.49 6.19637e-05
-2786.26 -4.72773e-05
-2784.99 2.77242e-05
-2783.76 -3.83709e-05
-2782.49 -1.41526e-06
-2781.26 -9.16054e-05
-2779.99 -6.23552e-05
-2778.76 -8.5138e-05
-2777.49 -6.11539e-05
-2776.26 -9.71303e-05
-2774.99 4.34981e-06
-2773.76 -7.67864e-05
-2772.49 1.56398e-05
-2771.26 -1.89877e-05
-2769.99 9.75334e-05
-2768.76 2.03516e-05
-2767.49 -1.52182e-05
-2766.26 3.1272e-05
-2764.99 8.78325e-05
-2763.76 5.52563e-05
-2762.49 5.54408e-05
-2761.26 -8.23358e-06
-2759.99 -1.34628e-05
-2758.76 -2.65636e-05
-2757.49 0.000106384
-2756.26 -6.47757e-05
-2754.99 -1.36291e-05
-2753.76 -5.75137e-05
-2752.49 1.13159e-05
-2751.26 -0.000110674
-2749.99 3.90696e-05
-2748.76 -7.6158e-05
-2747.49 -3.64677e-05
-2746.26 -3.29753e-05
-2744.99 4.78467e-05
-2743.76 2.68681e-06
-2742.49 5.45541e-05
-2741.26 2.26064e-05
-2739.99 0.000137723
-2738.76 8.14214e-05
-2737.49 2.92584e-05
-2736.26 -5.44089e-05
-2734.99 4.48908e-05
-2733.76 -4.70731e-05
-2732.49 -3.43051e-05
-2731.26 -6.9228e-05
-2729.99 -6.12088e-05
-2728.76 -3.09791e-05
-2727.49 1.2961e-05
-2726.26 -6.05434e-05
-2724.99 -1.62708e-05
-2723.76 -1.55871e-05
-2722.49 4.21929e-05
-2721.26 -6.06176e-05
-2719.99 5.24295e-05
-2718.76 -5.76612e-05
-2717.49 -5.50739e-05
-2716.26 -0.000109085
-2714.99 -6.03217e-05
-2713.76 -4.9272e-05
-2712.49 2.66891e-06
-2711.26 -0.000125308
-2709.99 -6.2336e-05
-2708.76 -9.60765e-05
-2707.49 -5.62011e-05
-2706.26 -0.000116031
-2704.99 1.72487e-05
-2703.76 -8.54509e-05
-2702.49 -3.9478e-05
-2701.26 -8.98298e-05
-2699.99 -0.000102801
-2698.76 -0.000106756
-2697.49 -2.85946e-05
